filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
blues.00000.wav,66150,0.33555517,0.09099669,0.1301892,0.0035588082,1773.358004144261,169450.82970655218,1972.3342580282888,117272.64057271283,3714.063439002404,1083179.4503505765,0.08185096153846154,0.0005576872402394312,-4.71986e-05,0.0083880965,-5.9688657e-05,0.005510972,129.19921875,-119.01804,2494.4453,125.08036,262.11307,-23.394333,365.3941,41.32173,181.91302,-5.9318967,152.47519,20.09275,75.37393,-16.031523,40.067993,17.811024,84.84377,-14.643774,83.337166,10.218312,96.06253,-9.701552,66.59519,10.16898,45.256905,-4.672668,34.240208,8.364334,47.449917,-7.225304,42.87387,-2.881668,39.547073,-3.230046,36.606857,0.6963852,37.766136,-5.035945,33.66855,-0.23958494,43.818882,blues
blues.00001.wav,66150,0.4017773,0.09029721,0.09246995,0.0038519748,1280.783900790562,409413.819009732,1921.7466622114312,197987.42916699607,2894.393780048077,3399108.529825747,0.03956580528846154,0.0015948036577574597,4.7443533e-05,0.005687032,-3.5938687e-05,0.0029349858,103.359375,-266.53107,15249.97,116.67671,420.18933,17.117645,521.4162,45.66341,191.54529,15.807183,174.35744,24.914494,92.02282,-1.1644391,370.7517,23.793524,81.64854,-1.4512695,223.21712,11.245294,66.12653,0.55152524,63.897583,9.926491,43.533714,0.81666094,46.494698,5.2523727,44.821815,-3.0055733,29.407211,1.6224799,39.717197,1.2956789,21.996435,0.11645801,19.852303,-0.84291166,21.263311,0.38653293,21.941433,blues
blues.00002.wav,66150,0.37058383,0.091087446,0.15081692,0.0024133448,1677.6989226693167,433776.27665071405,1795.7433605027672,56932.46446180385,3300.7915790264424,1076708.3869151461,0.07798602764423077,0.004531978587427081,1.5434207e-05,0.010529448,0.00010225906,0.0068205222,161.4990234375,-114.70075,3206.8586,129.31041,1107.274,-25.68705,348.25052,34.934654,217.19675,-17.62577,311.98233,27.660408,125.94551,-16.622725,177.5253,4.9843035,202.29594,-13.170805,71.35327,5.413443,110.26981,-17.335548,65.68627,1.8933556,61.504116,-8.801988,45.483486,-3.9905324,58.307556,-9.495915,29.857742,2.9161434,36.12482,-7.1814256,44.498253,-2.9043207,49.391468,-2.0622091,38.606968,-4.316792,22.711027,blues
blues.00003.wav,66150,0.37080756,0.10109374,0.13939622,0.008855053,860.8846906179639,86234.60588268391,1375.8784220354598,75011.66781450946,1636.0265174278845,581989.8118684982,0.02470703125,0.00021834593552809498,5.0671693e-05,0.022664605,5.5780756e-06,0.0018671156,184.5703125,-228.2259,5377.722,157.79218,345.4458,5.6490083,288.63684,25.817139,84.78984,7.1383743,150.54436,9.39256,97.71362,1.0389258,69.66403,8.889496,63.270702,1.6759261,61.995426,7.82692,20.708096,2.7244673,44.17836,4.6874337,21.066444,-1.7626289,22.213198,-0.60283816,24.278992,-0.8691318,30.993027,1.7609982,29.220682,1.9301169,24.491076,3.0338783,14.531387,-0.12585543,25.014303,-4.1509585,27.47609,blues
blues.00004.wav,66150,0.30832368,0.089089945,0.080157325,0.00067114475,1547.556147657305,142382.27551200386,1583.19089042076,42378.47120782057,2929.4266451322114,791373.2161983583,0.08600886418269231,0.000831938199037631,-1.5093615e-05,0.0038171434,-1.9101804e-05,0.0014006436,135.99917763157896,-180.68205,3183.3904,148.57852,481.3587,-41.67661,231.68164,27.568743,99.183495,-32.905865,86.50036,14.444768,60.260727,-28.373001,57.338634,-0.09562754,55.74123,-14.374341,57.174606,3.1241224,71.1357,-19.206314,71.554306,2.7877986,77.77601,-10.353668,103.77703,-2.3442397,94.528564,-12.900601,64.55536,-6.546219,58.373116,-8.452252,104.52812,3.7384593,53.538025,-8.596152,50.873524,-13.3148365,74.72188,blues
blues.00005.wav,66150,0.30415234,0.08960826,0.073900916,0.0013302874,1148.451465588671,117070.86676469244,1481.6406469365697,141709.1108386961,2284.4243915264424,1324711.6495780337,0.049447866586538464,0.00019916310112857256,1.5377097e-06,0.004244044,-5.3679258e-05,0.0011306386,67.99958881578948,-246.07567,9109.915,162.99629,753.80066,-7.9002647,949.9101,33.968647,288.1221,-18.322994,284.3706,10.611112,90.568115,-23.583687,81.5655,2.8646715,77.73566,-4.69436,91.436295,4.073455,68.901825,-13.971252,22.683132,-5.0048175,74.189285,-10.499554,44.592216,-3.9164987,24.451086,-7.1910534,25.212748,-4.9124804,38.22102,0.8094893,18.280386,-3.5036032,23.482914,-4.3297496,32.046883,-6.7947264,23.27661,blues
blues.00006.wav,66150,0.26481307,0.094565324,0.18320623,0.010174484,1781.3471465649347,575663.0899065885,1577.6333557611754,219775.27404727906,3482.4158653846152,2050774.9196663408,0.08476186899038461,0.001717151847816783,-4.0358398e-05,0.026345879,-3.2236756e-05,0.00882947,161.4990234375,-154.91626,6034.9077,111.51432,3402.4727,-47.343033,680.7763,42.906227,619.7591,-2.8727634,1516.9272,6.3438034,372.63843,-25.065624,265.70654,-2.434341,112.59365,-12.028341,142.57088,-7.775104,197.61926,-13.406673,118.97399,1.4493808,98.481346,-7.8536425,65.691086,-13.158744,42.15018,-7.266079,104.20326,-7.720585,119.67697,-11.297014,92.5205,-8.372662,36.9094,-6.932213,65.31515,-9.567271,80.36611,blues
blues.00007.wav,66150,0.38770044,0.09022056,0.0818172,0.0015565131,1447.7147095745972,92033.23032865825,1754.405210661663,52542.51853309953,2957.58544921875,577566.6518637767,0.05292217548076923,0.00027361057213777626,1.0718822e-05,0.0036456296,-4.1540436e-05,0.0020639685,89.10290948275862,-202.26833,6238.112,140.106,238.09848,-27.411297,442.867,36.943367,276.22296,1.9740636,389.69717,23.97391,119.90089,-25.867392,166.64474,19.808655,152.31374,-13.893503,238.25313,0.43990454,171.55081,-4.5124607,111.38865,-3.9034142,64.86615,-5.249878,131.75217,-8.505507,57.17051,-8.583917,120.39251,-8.747399,51.893238,-8.889569,48.517902,-13.747007,55.762108,-2.9335155,61.650803,-4.3067846,53.258904,blues
blues.00008.wav,66150,0.37663886,0.08524842,0.16160238,0.001441136,1755.1320758381023,249142.4713709816,2015.9074170295603,141277.01735498448,3831.916316105769,1607136.611410711,0.06952373798076923,0.001154908343885072,-2.7992814e-05,0.017193649,-6.291762e-05,0.0036471295,161.4990234375,-104.78234,2237.6755,124.98209,605.0344,-17.475672,327.35397,45.686897,200.96416,-8.872108,138.77495,21.327034,154.9582,-23.713642,47.084938,22.487587,69.359375,-12.890993,28.280766,21.665953,37.468708,-6.127697,32.62803,6.3014984,61.122818,-14.676754,55.993767,5.366209,35.717262,-5.378077,23.645756,-1.4009665,59.054825,-9.08176,22.540302,3.6147478,45.070267,5.112665,30.080015,-2.2361648,28.78852,blues
blues.00009.wav,66150,0.2652172,0.09845423,0.10049258,0.0033395938,1998.7583080990287,381713.15118909447,2000.7726343769148,142774.7626107206,4272.850060096154,1469923.8920464318,0.08965970552884615,0.0015430826971516807,4.413567e-05,0.009747648,-3.3793873e-05,0.001630977,107.666015625,-191.29753,4777.2104,110.31456,1218.3802,-16.999125,529.94727,49.194195,373.07153,-29.61789,320.1137,17.904408,502.55576,-15.191268,170.66803,9.086761,72.41317,-15.115916,74.2329,8.657026,84.32946,-11.591278,97.10077,5.7857394,106.830574,-4.6636376,28.003944,-8.735687,74.6122,-1.6106131,111.432076,-2.937784,40.589798,-4.4755588,56.276524,-0.8093494,89.6319,1.8383675,70.573105,-12.372054,144.41159,blues
